latitude, longitude
32.606555422693, -85.481739945316
32.606560713668, -85.481739343814
32.606566226104, -85.481739970381
32.606571496624, -85.481740004957
32.606577152749, -85.481739949551
32.606582422520, -85.481740131527
32.606587981276, -85.481740008059
32.606593365077, -85.481740019962
32.606598331834, -85.481740137703
32.606604044375, -85.481739788011
32.606609166522, -85.481740149972
32.606614977837, -85.481740478954
32.606619971305, -85.481740417323
32.606625609679, -85.481740038595
32.606630713267, -85.481739967050
32.606635935834, -85.481739902650
32.606641349221, -85.481740237447
32.606646605237, -85.481739655836
32.606652096682, -85.481739483839
32.606657765478, -85.481739708116
32.606662963323, -85.481739466488
32.606668836609, -85.481739660007
32.606673914963, -85.481739840576
32.606679228433, -85.481739871596
32.606684660863, -85.481739792483
32.606689883104, -85.481739580470
32.606695450280, -85.481739302866
32.606700990239, -85.481739638962
32.606705865240, -85.481739620866
32.606712036062, -85.481739484772
32.606717351728, -85.481739135932
32.606722223990, -85.481739241700
32.606728179620, -85.481739263344
32.606733491234, -85.481738907535
32.606738836456, -85.481739201624
32.606744201796, -85.481739237668
32.606749042084, -85.481738276431
32.606755548698, -85.481738633624
32.606760016176, -85.481738543877
32.606765347745, -85.481738998764
32.606771173148, -85.481738293155
32.606776262326, -85.481738151736
32.606781812633, -85.481737860671
32.606786842716, -85.481737998972
32.606792689395, -85.481738196692
32.606797948125, -85.481737202928
32.606803444907, -85.481737379124
32.606808440797, -85.481737469448
32.606813891739, -85.481737013881
32.606819530535, -85.481736599108
32.606824988137, -85.481736112939
32.606830235091, -85.481736483071
32.606835417977, -85.481736349605
32.606840910026, -85.481735650286
32.606846325588, -85.481735847820
32.606851633054, -85.481735888482
32.606857384746, -85.481735687847
32.606862399202, -85.481734523186
32.606867804055, -85.481734971901
32.606873318415, -85.481734943204
32.606878750666, -85.481733875905
32.606884067970, -85.481733787938
32.606889621427, -85.481733279414
32.606895062586, -85.481733526388
32.606900423272, -85.481732989251
32.606905495442, -85.481732355206
32.606910636485, -85.481732059686
32.606916408486, -85.481732070938
32.606921330533, -85.481731508687
32.606927143176, -85.481730848661
32.606932319856, -85.481730479540
32.606938045628, -85.481730510246
32.606943084167, -85.481730286826
32.606948357331, -85.481729371949
32.606953551440, -85.481728904947
32.606959806866, -85.481728707509
32.606964783699, -85.481728360082
32.606970463547, -85.481727508052
32.606975423904, -85.481727733428
32.606980954651, -85.481726750289
32.606986127204, -85.481726588040
32.606991371545, -85.481725995404
32.606996961260, -85.481725813981
32.607002367763, -85.481724905970
32.607007761737, -85.481724697540
32.607013356082, -85.481724165736
32.607018583629, -85.481723046114
32.607024000485, -85.481722914237
32.607029083507, -85.481722619363
32.607034528762, -85.481721675864
32.607039739900, -85.481721591312
32.607045364212, -85.481720421578
32.607050738501, -85.481721181427
32.607056323611, -85.481719962410
32.607061040174, -85.481719103922
32.607066401208, -85.481718221735
32.607072518426, -85.481717728871
32.607077600928, -85.481717281096
32.607083143090, -85.481716670067
32.607087986422, -85.481716078954
32.607094105830, -85.481715891749
32.607098667845, -85.481715260737
32.607104021854, -85.481714374010
32.607110135082, -85.481713484822
32.607115199502, -85.481712694474
32.607120474124, -85.481712595552
32.607125866101, -85.481711250184
32.607131121775, -85.481711181370
32.607136537198, -85.481710373559
32.607142209702, -85.481709958800
32.607147245892, -85.481708581262
32.607152502670, -85.481708209855
32.607158513405, -85.481707281573
32.607163112952, -85.481706964168
32.607168574740, -85.481706537808
32.607173964830, -85.481706033124
32.607179533529, -85.481704992511
32.607184670382, -85.481704373872
32.607190290421, -85.481703718408
32.607195980474, -85.481702812830
32.607201353404, -85.481702541973
32.607206412034, -85.481701432517
32.607211712555, -85.481701120143
32.607217080181, -85.481700244208
32.607222563923, -85.481699841190
32.607227565918, -85.481699059332
32.607233245406, -85.481697830484
32.607238416276, -85.481697252165
32.607244315808, -85.481696277078
32.607249349776, -85.481695883390
32.607254510041, -85.481695830807
32.607259885995, -85.481694517557
32.607264956685, -85.481693966999
32.607270570326, -85.481693274903
32.607275980588, -85.481692720256
32.607281470071, -85.481691437529
32.607286366235, -85.481690674336
32.607292416416, -85.481690048783
32.607297391266, -85.481689469765
32.607302335150, -85.481688899972
32.607307762398, -85.481688394246
32.607313514320, -85.481687623188
32.607319269762, -85.481686716968
32.607323742023, -85.481686074959
32.607329534429, -85.481685122769
32.607334808342, -85.481684928573
32.607340411238, -85.481684113633
32.607345998484, -85.481683182920
32.607351261486, -85.481682950723
32.607356430557, -85.481681829153
32.607361678349, -85.481681519576
32.607366943496, -85.481680542214
32.607372368469, -85.481680345562
32.607377995260, -85.481679211283
32.607382952985, -85.481679093674
32.607388368957, -85.481678128589
32.607393775298, -85.481677317414
32.607399218128, -85.481676266406
32.607404133228, -85.481675806952
32.607409767483, -85.481675528034
32.607415147391, -85.481675278538
32.607420432166, -85.481673880999
32.607426046364, -85.481673310391
32.607431408350, -85.481672769605
32.607436279631, -85.481672044445
32.607441819989, -85.481670972775
32.607447531726, -85.481670597408
32.607452988493, -85.481670235774
32.607458270024, -85.481669232865
32.607463727399, -85.481668729794
32.607468960721, -85.481667843865
32.607474523864, -85.481667514872
32.607479430568, -85.481667392515
32.607484971054, -85.481666421924
32.607490660503, -85.481665456267
32.607495329665, -85.481664998099
32.607501114107, -85.481664185246
32.607506668098, -85.481663701930
32.607511855281, -85.481662934771
32.607517276268, -85.481662290896
32.607522879120, -85.481661535008
32.607528231105, -85.481661128085
32.607533593807, -85.481660304966
32.607538306255, -85.481659940376
32.607544062003, -85.481659739210
32.607549684827, -85.481658892565
